data_completa_acidente;dispositivo_de_controle_de_tr�fego;condi��o_clim�tica;condi��o_de_ilumina��o;primeiro_tipo_de_acidente;tipo_de_pista_de_tr�fego;alinhamento;superf�cie_da_estrada;cond;defeito_da_estrada;tipo_de_acidente;relacionado_�_interse��o;dano;causa_contributiva_prim�ria;num_unidades;ferimento_mais_grave;ferimentos_total;de;ferimentos;ferimentos_fatais;ferimentos_incapacitantes;ferimentos_n�o_incapacitantes;ferimentos_relatados_n�o_evidentes;ferimentos_sem_indica��o;hora_do_acidente;dia_da_semana_do_acidente;m�s_do_acidente
09/07/2023 08:32:00 PM;TRAFFIC SIGNAL;CLEAR;DARKNESS, LIGHTED ROAD;FIXED OBJECT;NOT DIVIDED;STRAIGHT AND LEVEL;DRY;UNKNOWN;NO INJURY / DRIVE AWAY;Y;OVER $1,500;UNABLE TO DETERMINE;1;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;1.0;20;5;9;;;
11/02/2016 04:49:00 PM;TRAFFIC SIGNAL;RAIN;DUSK;ANGLE;OTHER;STRAIGHT AND LEVEL;WET;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;OVER $1,500;IMPROPER OVERTAKING/PASSING;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;2.0;16;4;11;;;
07/02/2020 05:45:00 PM;UNKNOWN;CLEAR;DAYLIGHT;TURNING;UNKNOWN INTERSECTION TYPE;STRAIGHT AND LEVEL;DRY;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;OVER $1,500;UNABLE TO DETERMINE;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;2.0;17;5;7;;;
08/09/2023 07:00:00 AM;NO CONTROLS;CLEAR;DAYLIGHT;SIDESWIPE SAME DIRECTION;ONE-WAY;STRAIGHT AND LEVEL;DRY;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;OVER $1,500;IMPROPER OVERTAKING/PASSING;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;2.0;7;4;8;;;
02/09/2020 02:00:00 PM;TRAFFIC SIGNAL;SNOW;DAYLIGHT;REAR END;RAMP;STRAIGHT AND LEVEL;SNOW OR SLUSH;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;OVER $1,500;FOLLOWING TOO CLOSELY;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;2.0;14;1;2;;;
08/01/2023 11:45:00 PM;NO CONTROLS;CLEAR;DARKNESS, LIGHTED ROAD;SIDESWIPE OPPOSITE DIRECTION;NOT DIVIDED;STRAIGHT AND LEVEL;DRY;NO DEFECTS;INJURY AND / OR TOW DUE TO CRASH;N;OVER $1,500;IMPROPER TURNING/NO SIGNAL;4;INCAPACITATING INJURY;1.0;0.0;1.0;0.0;0.0;1.0;23;3;8;;;
08/01/2023 03:29:00 PM;TRAFFIC SIGNAL;CLEAR;DAYLIGHT;PEDALCYCLIST;TRAFFIC ROUTE;STRAIGHT AND LEVEL;DRY;NO DEFECTS;INJURY AND / OR TOW DUE TO CRASH;N;$500 OR LESS;DRIVING ON WRONG SIDE/WRONG WAY;2;REPORTED, NOT EVIDENT;1.0;0.0;0.0;0.0;1.0;1.0;15;3;8;;;
09/05/2023 07:05:00 PM;TRAFFIC SIGNAL;CLEAR;DUSK;ANGLE;FIVE POINT, OR MORE;STRAIGHT AND LEVEL;DRY;NO DEFECTS;INJURY AND / OR TOW DUE TO CRASH;Y;OVER $1,500;UNABLE TO DETERMINE;2;INCAPACITATING INJURY;3.0;0.0;1.0;2.0;0.0;2.0;19;3;9;;;
09/09/2022 04:53:00 PM;TRAFFIC SIGNAL;CLEAR;DAYLIGHT;SIDESWIPE SAME DIRECTION;FOUR WAY;STRAIGHT AND LEVEL;DRY;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;OVER $1,500;IMPROPER LANE USAGE;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;2.0;16;6;9;;;
08/15/2023 06:50:00 PM;STOP SIGN/FLASHER;CLEAR;DAYLIGHT;TURNING;ONE-WAY;STRAIGHT AND LEVEL;UNKNOWN;UNKNOWN;NO INJURY / DRIVE AWAY;Y;$500 OR LESS;IMPROPER OVERTAKING/PASSING;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;2.0;18;3;8;;;
08/22/2023 03:50:00 PM;NO CONTROLS;CLEAR;DAYLIGHT;REAR END;NOT DIVIDED;STRAIGHT AND LEVEL;DRY;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;OVER $1,500;UNABLE TO DETERMINE;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;2.0;15;3;8;;;
08/02/2023 08:53:00 PM;TRAFFIC SIGNAL;CLEAR;DARKNESS, LIGHTED ROAD;TURNING;FOUR WAY;STRAIGHT AND LEVEL;DRY;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;OVER $1,500;FAILING TO YIELD RIGHT-OF-WAY;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;3.0;20;4;8;;;
09/06/2023 02:50:00 PM;STOP SIGN/FLASHER;CLEAR;DAYLIGHT;TURNING;T-INTERSECTION;STRAIGHT AND LEVEL;DRY;NO DEFECTS;INJURY AND / OR TOW DUE TO CRASH;Y;OVER $1,500;UNABLE TO DETERMINE;2;REPORTED, NOT EVIDENT;1.0;0.0;0.0;0.0;1.0;1.0;14;4;9;;;
07/01/2022 01:00:00 AM;TRAFFIC SIGNAL;CLEAR;DARKNESS;TURNING;ONE-WAY;STRAIGHT AND LEVEL;DRY;UNKNOWN;NO INJURY / DRIVE AWAY;Y;OVER $1,500;IMPROPER LANE USAGE;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;2.0;1;6;7;;;
09/06/2023 02:30:00 PM;STOP SIGN/FLASHER;CLEAR;DAYLIGHT;REAR END;T-INTERSECTION;STRAIGHT AND LEVEL;DRY;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;OVER $1,500;FAILING TO YIELD RIGHT-OF-WAY;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;2.0;14;4;9;;;
08/17/2023 01:30:00 PM;STOP SIGN/FLASHER;CLEAR;DAYLIGHT;TURNING;FOUR WAY;STRAIGHT AND LEVEL;DRY;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;OVER $1,500;FAILING TO YIELD RIGHT-OF-WAY;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;2.0;13;5;8;;;
03/20/2022 03:08:00 PM;NO CONTROLS;CLEAR;DAYLIGHT;TURNING;FOUR WAY;STRAIGHT AND LEVEL;DRY;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;$501 - $1,500;FAILING TO YIELD RIGHT-OF-WAY;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;3.0;15;1;3;;;
09/25/2023 12:00:00 PM;STOP SIGN/FLASHER;CLOUDY/OVERCAST;UNKNOWN;TURNING;OTHER;STRAIGHT AND LEVEL;UNKNOWN;UNKNOWN;NO INJURY / DRIVE AWAY;Y;OVER $1,500;FAILING TO YIELD RIGHT-OF-WAY;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;2.0;12;2;9;;;
09/25/2023 04:01:00 PM;STOP SIGN/FLASHER;CLEAR;DAYLIGHT;TURNING;T-INTERSECTION;STRAIGHT AND LEVEL;DRY;NO DEFECTS;INJURY AND / OR TOW DUE TO CRASH;Y;OVER $1,500;UNABLE TO DETERMINE;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;3.0;16;2;9;;;
08/18/2023 03:00:00 PM;STOP SIGN/FLASHER;CLEAR;DAYLIGHT;ANGLE;DIVIDED - W/MEDIAN (NOT RAISED);STRAIGHT AND LEVEL;DRY;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;OVER $1,500;UNABLE TO DETERMINE;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;3.0;15;6;8;;;
09/06/2023 08:59:00 AM;TRAFFIC SIGNAL;CLEAR;DAYLIGHT;REAR END;DIVIDED - W/MEDIAN BARRIER;STRAIGHT AND LEVEL;DRY;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;OVER $1,500;NOT APPLICABLE;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;2.0;8;4;9;;;
08/16/2023 11:30:00 PM;TRAFFIC SIGNAL;CLEAR;DARKNESS, LIGHTED ROAD;REAR END;NOT DIVIDED;STRAIGHT AND LEVEL;DRY;UNKNOWN;INJURY AND / OR TOW DUE TO CRASH;Y;OVER $1,500;FAILING TO REDUCE SPEED TO AVOID CRASH;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;2.0;23;4;8;;;
08/18/2023 05:30:00 PM;NO CONTROLS;CLEAR;DAYLIGHT;ANGLE;FOUR WAY;STRAIGHT AND LEVEL;DRY;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;$501 - $1,500;UNABLE TO DETERMINE;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;2.0;17;6;8;;;
08/24/2023 06:22:00 PM;STOP SIGN/FLASHER;CLEAR;DAYLIGHT;TURNING;FOUR WAY;STRAIGHT AND LEVEL;DRY;NO DEFECTS;INJURY AND / OR TOW DUE TO CRASH;Y;OVER $1,500;FAILING TO YIELD RIGHT-OF-WAY;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;2.0;18;5;8;;;
08/24/2023 06:02:00 PM;TRAFFIC SIGNAL;CLEAR;DAYLIGHT;TURNING;FOUR WAY;STRAIGHT AND LEVEL;DRY;NO DEFECTS;INJURY AND / OR TOW DUE TO CRASH;Y;OVER $1,500;DISREGARDING TRAFFIC SIGNALS;2;INCAPACITATING INJURY;2.0;0.0;2.0;0.0;0.0;1.0;18;5;8;;;
09/12/2023 06:34:00 AM;TRAFFIC SIGNAL;CLEAR;DAYLIGHT;TURNING;FOUR WAY;STRAIGHT AND LEVEL;DRY;NO DEFECTS;INJURY AND / OR TOW DUE TO CRASH;Y;OVER $1,500;DRIVING SKILLS/KNOWLEDGE/EXPERIENCE;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;4.0;6;3;9;;;
09/27/2023 01:30:00 PM;NO CONTROLS;CLEAR;DAYLIGHT;TURNING;DIVIDED - W/MEDIAN (NOT RAISED);STRAIGHT AND LEVEL;DRY;UNKNOWN;NO INJURY / DRIVE AWAY;Y;OVER $1,500;UNABLE TO DETERMINE;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;2.0;13;4;9;;;
08/06/2023 02:30:00 AM;TRAFFIC SIGNAL;RAIN;DARKNESS;REAR END;FOUR WAY;STRAIGHT AND LEVEL;WET;UNKNOWN;INJURY AND / OR TOW DUE TO CRASH;Y;$501 - $1,500;UNABLE TO DETERMINE;2;REPORTED, NOT EVIDENT;1.0;0.0;0.0;0.0;1.0;2.0;2;1;8;;;
09/28/2023 12:30:00 PM;TRAFFIC SIGNAL;CLEAR;DAYLIGHT;TURNING;FOUR WAY;STRAIGHT AND LEVEL;WET;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;OVER $1,500;FAILING TO YIELD RIGHT-OF-WAY;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;2.0;12;5;9;;;
09/09/2023 11:09:00 AM;TRAFFIC SIGNAL;CLEAR;DAYLIGHT;PEDESTRIAN;FOUR WAY;STRAIGHT AND LEVEL;DRY;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;$500 OR LESS;UNABLE TO DETERMINE;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;2.0;11;7;9;;;
07/26/2023 07:43:00 AM;STOP SIGN/FLASHER;CLEAR;DAYLIGHT;TURNING;DIVIDED - W/MEDIAN (NOT RAISED);STRAIGHT AND LEVEL;DRY;NO DEFECTS;INJURY AND / OR TOW DUE TO CRASH;Y;OVER $1,500;IMPROPER TURNING/NO SIGNAL;2;NONINCAPACITATING INJURY;1.0;0.0;0.0;1.0;0.0;1.0;7;4;7;;;
08/20/2023 10:00:00 PM;NO CONTROLS;CLEAR;DARKNESS;SIDESWIPE SAME DIRECTION;NOT DIVIDED;STRAIGHT AND LEVEL;DRY;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;OVER $1,500;UNABLE TO DETERMINE;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;2.0;22;1;8;;;
08/27/2023 03:07:00 PM;STOP SIGN/FLASHER;CLEAR;DAYLIGHT;TURNING;UNKNOWN INTERSECTION TYPE;STRAIGHT AND LEVEL;DRY;NO DEFECTS;INJURY AND / OR TOW DUE TO CRASH;Y;OVER $1,500;UNABLE TO DETERMINE;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;3.0;15;1;8;;;
09/11/2023 07:40:00 AM;TRAFFIC SIGNAL;RAIN;DAYLIGHT;HEAD ON;NOT DIVIDED;STRAIGHT AND LEVEL;WET;UNKNOWN;INJURY AND / OR TOW DUE TO CRASH;Y;OVER $1,500;FAILING TO YIELD RIGHT-OF-WAY;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;3.0;7;2;9;;;
08/21/2023 06:39:00 AM;OTHER;CLEAR;DAYLIGHT;TURNING;NOT DIVIDED;STRAIGHT AND LEVEL;DRY;NO DEFECTS;INJURY AND / OR TOW DUE TO CRASH;Y;OVER $1,500;FAILING TO YIELD RIGHT-OF-WAY;2;NONINCAPACITATING INJURY;1.0;0.0;0.0;1.0;0.0;2.0;6;2;8;;;
08/28/2023 01:00:00 PM;NO CONTROLS;CLEAR;DAYLIGHT;SIDESWIPE SAME DIRECTION;DIVIDED - W/MEDIAN (NOT RAISED);STRAIGHT AND LEVEL;DRY;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;OVER $1,500;UNABLE TO DETERMINE;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;2.0;13;2;8;;;
08/28/2023 03:06:00 PM;TRAFFIC SIGNAL;CLEAR;DAYLIGHT;ANGLE;FOUR WAY;STRAIGHT AND LEVEL;DRY;UNKNOWN;INJURY AND / OR TOW DUE TO CRASH;Y;OVER $1,500;NOT APPLICABLE;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;3.0;15;2;8;;;
09/15/2023 07:45:00 AM;UNKNOWN;CLEAR;DAYLIGHT;SIDESWIPE SAME DIRECTION;FOUR WAY;STRAIGHT AND LEVEL;DRY;UNKNOWN;NO INJURY / DRIVE AWAY;Y;$500 OR LESS;IMPROPER OVERTAKING/PASSING;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;2.0;7;6;9;;;
09/15/2023 03:46:00 PM;TRAFFIC SIGNAL;CLEAR;DAYLIGHT;TURNING;FOUR WAY;STRAIGHT AND LEVEL;DRY;NO DEFECTS;INJURY AND / OR TOW DUE TO CRASH;Y;OVER $1,500;FAILING TO YIELD RIGHT-OF-WAY;2;NONINCAPACITATING INJURY;1.0;0.0;0.0;1.0;0.0;2.0;15;6;9;;;
08/22/2023 12:50:00 PM;STOP SIGN/FLASHER;CLEAR;DAYLIGHT;TURNING;T-INTERSECTION;STRAIGHT AND LEVEL;DRY;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;OVER $1,500;FAILING TO YIELD RIGHT-OF-WAY;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;3.0;12;3;8;;;
08/08/2023 10:00:00 AM;NO CONTROLS;CLEAR;DAYLIGHT;SIDESWIPE SAME DIRECTION;UNKNOWN;STRAIGHT AND LEVEL;DRY;NO DEFECTS;NO INJURY / DRIVE AWAY;N;$500 OR LESS;IMPROPER LANE USAGE;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;3.0;10;3;8;;;
09/29/2023 07:19:00 PM;TRAFFIC SIGNAL;CLEAR;DARKNESS, LIGHTED ROAD;ANGLE;FOUR WAY;STRAIGHT AND LEVEL;DRY;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;OVER $1,500;DISREGARDING TRAFFIC SIGNALS;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;4.0;19;6;9;;;
09/12/2023 05:40:00 PM;TRAFFIC SIGNAL;CLEAR;DAYLIGHT;TURNING;ONE-WAY;STRAIGHT AND LEVEL;UNKNOWN;OTHER;NO INJURY / DRIVE AWAY;Y;$501 - $1,500;FOLLOWING TOO CLOSELY;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;3.0;17;3;9;;;
08/10/2023 07:30:00 AM;NO CONTROLS;CLEAR;DAYLIGHT;TURNING;NOT DIVIDED;STRAIGHT AND LEVEL;DRY;NO DEFECTS;INJURY AND / OR TOW DUE TO CRASH;Y;OVER $1,500;NOT APPLICABLE;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;5.0;7;5;8;;;
09/24/2023 07:50:00 PM;TRAFFIC SIGNAL;CLEAR;DAYLIGHT;PARKED MOTOR VEHICLE;FOUR WAY;STRAIGHT AND LEVEL;DRY;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;OVER $1,500;UNABLE TO DETERMINE;3;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;1.0;19;1;9;;;
08/31/2023 06:35:00 PM;TRAFFIC SIGNAL;CLEAR;DUSK;TURNING;DIVIDED - W/MEDIAN (NOT RAISED);STRAIGHT AND LEVEL;UNKNOWN;UNKNOWN;NO INJURY / DRIVE AWAY;Y;OVER $1,500;UNABLE TO DETERMINE;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;2.0;18;5;8;;;
08/23/2023 03:30:00 PM;TRAFFIC SIGNAL;UNKNOWN;DAYLIGHT;SIDESWIPE SAME DIRECTION;NOT DIVIDED;STRAIGHT AND LEVEL;UNKNOWN;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;OVER $1,500;UNABLE TO DETERMINE;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;3.0;15;4;8;;;
08/11/2023 09:20:00 AM;TRAFFIC SIGNAL;RAIN;DAYLIGHT;TURNING;NOT DIVIDED;STRAIGHT AND LEVEL;WET;NO DEFECTS;INJURY AND / OR TOW DUE TO CRASH;N;OVER $1,500;FAILING TO REDUCE SPEED TO AVOID CRASH;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;5.0;9;6;8;;;
08/11/2023 09:50:00 AM;TRAFFIC SIGNAL;RAIN;DAYLIGHT;TURNING;FOUR WAY;STRAIGHT AND LEVEL;WET;NO DEFECTS;INJURY AND / OR TOW DUE TO CRASH;Y;OVER $1,500;IMPROPER TURNING/NO SIGNAL;3;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;3.0;9;6;8;;;
09/15/2023 07:50:00 AM;TRAFFIC SIGNAL;CLEAR;DAYLIGHT;PEDESTRIAN;FOUR WAY;STRAIGHT AND LEVEL;DRY;NO DEFECTS;INJURY AND / OR TOW DUE TO CRASH;Y;OVER $1,500;FAILING TO YIELD RIGHT-OF-WAY;2;NONINCAPACITATING INJURY;1.0;0.0;0.0;1.0;0.0;1.0;7;6;9;;;
09/15/2023 07:40:00 AM;TRAFFIC SIGNAL;CLEAR;DAWN;SIDESWIPE SAME DIRECTION;ONE-WAY;STRAIGHT AND LEVEL;DRY;UNKNOWN;NO INJURY / DRIVE AWAY;Y;OVER $1,500;DRIVING SKILLS/KNOWLEDGE/EXPERIENCE;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;2.0;7;6;9;;;
09/19/2023 07:23:00 PM;PEDESTRIAN CROSSING SIGN;RAIN;DARKNESS, LIGHTED ROAD;PEDESTRIAN;ONE-WAY;STRAIGHT AND LEVEL;WET;NO DEFECTS;INJURY AND / OR TOW DUE TO CRASH;Y;OVER $1,500;FAILING TO YIELD RIGHT-OF-WAY;2;NONINCAPACITATING INJURY;1.0;0.0;0.0;1.0;0.0;1.0;19;3;9;;;
09/16/2023 03:00:00 PM;NO CONTROLS;RAIN;DAYLIGHT;TURNING;DIVIDED - W/MEDIAN (NOT RAISED);STRAIGHT AND LEVEL;WET;NO DEFECTS;INJURY AND / OR TOW DUE TO CRASH;Y;OVER $1,500;UNABLE TO DETERMINE;2;REPORTED, NOT EVIDENT;1.0;0.0;0.0;0.0;1.0;1.0;15;7;9;;;
10/04/2023 09:10:00 AM;TRAFFIC SIGNAL;CLEAR;DAYLIGHT;REAR END;FOUR WAY;STRAIGHT AND LEVEL;DRY;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;$500 OR LESS;FOLLOWING TOO CLOSELY;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;2.0;9;4;10;;;
09/11/2023 06:30:00 PM;TRAFFIC SIGNAL;RAIN;DARKNESS, LIGHTED ROAD;REAR END;DIVIDED - W/MEDIAN (NOT RAISED);STRAIGHT AND LEVEL;WET;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;OVER $1,500;UNABLE TO DETERMINE;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;3.0;18;2;9;;;
09/20/2023 05:05:00 PM;TRAFFIC SIGNAL;CLEAR;DAYLIGHT;ANGLE;DIVIDED - W/MEDIAN (NOT RAISED);STRAIGHT AND LEVEL;DRY;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;OVER $1,500;UNABLE TO DETERMINE;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;2.0;17;4;9;;;
08/13/2023 02:28:00 AM;TRAFFIC SIGNAL;CLEAR;DARKNESS, LIGHTED ROAD;ANGLE;FOUR WAY;STRAIGHT AND LEVEL;DRY;NO DEFECTS;INJURY AND / OR TOW DUE TO CRASH;Y;OVER $1,500;DISREGARDING TRAFFIC SIGNALS;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;3.0;2;1;8;;;
08/14/2023 04:55:00 PM;NO CONTROLS;RAIN;DAYLIGHT;PEDALCYCLIST;T-INTERSECTION;STRAIGHT AND LEVEL;WET;UNKNOWN;INJURY AND / OR TOW DUE TO CRASH;Y;OVER $1,500;FAILING TO REDUCE SPEED TO AVOID CRASH;2;NONINCAPACITATING INJURY;1.0;0.0;0.0;1.0;0.0;1.0;16;2;8;;;
08/14/2023 09:04:00 PM;TRAFFIC SIGNAL;RAIN;DARKNESS;ANGLE;NOT DIVIDED;STRAIGHT AND LEVEL;WET;UNKNOWN;INJURY AND / OR TOW DUE TO CRASH;Y;OVER $1,500;DISREGARDING TRAFFIC SIGNALS;3;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;3.0;21;2;8;;;
09/18/2023 08:09:00 AM;STOP SIGN/FLASHER;CLEAR;DAYLIGHT;TURNING;DIVIDED - W/MEDIAN (NOT RAISED);STRAIGHT AND LEVEL;DRY;NO DEFECTS;INJURY AND / OR TOW DUE TO CRASH;Y;OVER $1,500;UNABLE TO DETERMINE;2;REPORTED, NOT EVIDENT;1.0;0.0;0.0;0.0;1.0;6.0;8;2;9;;;
